mRNA1,mRNA2,mRNA3,mRNA4,mRNA5,mRNA6,mRNA7,mRNA8
2116.38976,91.49170,93.62801,57.54172,56.35615,1848.07795,54.78954,2124.82861
2177.77788,93.66008,92.37306,56.38572,55.28560,2068.99507,51.17059,2009.19944
1977.76532,93.12409,98.43504,56.04859,56.68787,2033.60237,51.60562,1876.09248
1822.04936,96.29719,101.72798,54.38714,58.36674,2096.42854,54.17781,1998.32793
2237.53968,98.01118,95.36465,58.40217,56.30629,2215.34207,53.08610,2129.84866
2193.06962,88.43682,95.77665,54.80707,58.31640,2222.16273,49.85373,2114.55967
2002.31659,96.70870,92.60208,55.97149,50.12165,2068.26085,49.98724,2237.17525
1962.90202,102.32929,102.89419,55.00141,55.35539,1939.70941,55.55426,2038.77113
2004.31749,100.72405,94.70780,54.23633,51.04955,1898.31974,53.63754,2057.38626
1900.23974,96.26223,93.68654,48.69788,59.93563,2081.22798,60.08119,2138.21465
2019.83544,94.76820,95.71063,53.65942,52.34404,2002.29721,49.29689,1937.25520
1917.69046,101.43602,95.89162,51.06285,56.79939,2140.95772,54.98239,1762.16275
2277.43026,89.62407,93.80420,54.86772,54.16008,2052.41270,51.08765,2032.58480
2130.49521,97.19810,98.13707,49.58449,56.92016,1833.26688,49.94422,1866.98422
2069.36716,95.54584,93.05048,53.20473,51.85302,2127.26629,58.32484,2065.65620
1749.95081,91.68489,87.33155,59.12011,51.67011,2001.14047,52.59866,1946.15877
2113.81731,92.45742,86.85344,55.16169,54.56566,2004.66882,58.19757,2020.72785
2046.28456,88.88156,92.32263,53.51677,59.02469,2111.57783,54.80315,2046.68821
1862.33808,88.12291,91.43444,50.55424,60.12756,2272.35627,50.47562,2038.70300
2064.61974,98.04807,101.06331,52.78123,55.37450,1957.90504,53.47178,1990.18879
1963.27471,92.48534,102.33465,51.63179,53.17962,1974.58788,49.06033,2180.07563
2062.39463,100.25976,93.57772,51.27321,56.21659,2064.72610,53.92481,1940.00762
2048.31669,90.96145,84.96145,49.20458,57.00337,1988.01232,54.75643,1918.38667
1974.58454,97.45553,89.46141,50.09925,52.18472,2035.30235,53.69031,2079.18656
2224.42973,97.70940,90.05943,56.92096,55.05850,2076.36525,54.49576,2009.77656
2093.58800,98.87133,96.76853,52.45776,49.07167,1995.34634,51.83625,2013.88142
2057.03436,96.91438,94.84843,52.78410,53.05673,2011.59987,55.08306,1982.47055
1968.33934,93.93401,92.77496,50.35827,52.12893,2028.90882,53.48985,2205.54143
2154.51064,89.50647,89.95707,55.27428,50.56131,2079.08075,51.78731,2162.56072
2209.82388,96.73028,90.77970,53.21655,53.52546,2087.04236,50.18648,1937.50573
1931.95648,92.07454,96.90305,56.63057,51.34271,2011.22972,55.70908,1987.28091
1943.89187,96.80272,87.41893,51.04050,57.60288,2111.00632,56.54533,2183.18673
2094.81741,91.65843,95.25770,54.39859,56.76178,2131.20495,52.88646,2061.46124
2061.85181,92.65003,95.23747,54.58499,58.46260,2187.09308,56.11359,2092.49840
2105.15308,93.16770,99.05086,55.00130,54.80890,2024.91819,50.93935,2197.07120
1873.62882,98.99638,96.41400,55.17263,56.91293,2052.74167,48.35460,1966.34447
2012.02634,94.10445,88.44755,55.55817,57.07937,1899.95321,50.47266,2085.22578
2011.97148,89.74599,91.93560,55.81204,56.87258,1900.56096,56.68506,2030.95082
1999.38287,92.57789,89.50357,51.15116,54.58602,1921.51506,53.42796,2086.84214
2186.02012,96.19652,94.61994,52.74148,57.92400,1875.82443,51.07051,2122.41813
1971.01043,90.90034,88.18042,49.82182,52.13932,2105.81458,52.27819,1993.23553
2125.13318,96.82560,82.04222,52.60549,49.33543,2184.78053,59.92831,2133.76364
2057.20457,97.17184,92.47277,54.63318,57.37856,2026.28254,51.67873,2021.04601
2112.67485,86.94454,89.53282,53.29748,58.59030,2053.65046,47.79236,1963.65663
2018.76106,99.99537,98.17644,53.20847,54.11819,1842.75529,49.77214,2037.12016
2179.40443,97.96716,96.23536,51.29528,60.98320,1999.85897,53.78277,2214.15874
2093.52055,97.56300,102.50097,53.26571,51.95679,2125.03820,54.80586,1966.63302
2272.95936,89.09024,96.69011,55.54714,50.73000,2183.15188,55.99413,2036.50856
2049.43639,85.72462,91.82613,51.13732,62.16888,1976.29499,53.74011,2108.45982
2103.03093,95.90362,95.06382,55.23216,55.58745,2012.67086,55.13484,2094.08393
2041.95504,97.80150,86.80575,54.46851,54.92124,1869.58957,51.98995,2063.12620
2351.25196,98.57024,90.55977,54.20093,55.22028,1934.88404,52.49362,1997.38233
2085.25933,87.86260,98.28607,50.02118,52.56268,1937.88363,48.48168,2148.11929
1941.41818,94.59098,100.14133,51.52217,55.96376,2017.50521,52.48226,1958.26009
2072.15326,94.79861,98.86402,50.80700,55.61616,2053.27956,52.64536,1919.47144
1999.54396,98.08746,88.93837,52.76205,53.88298,2062.28470,55.14734,1940.94613
2260.64295,97.43424,93.56410,57.19724,52.95807,2127.92163,52.77827,1993.99487
2026.54610,91.98484,91.26557,53.94866,54.02953,2120.38803,53.65946,2237.78572
2035.37048,86.78494,93.16594,56.67572,53.43527,2059.03152,52.15902,2084.96554
2029.71484,86.07009,87.61627,53.48565,56.07768,2019.13354,50.32254,1899.91809
2001.37150,95.91781,86.41116,53.85643,57.76837,2116.46500,55.74078,2146.51204
2000.34226,92.53390,104.48544,49.44291,57.15825,2094.67023,56.11478,1919.83686
1881.30760,96.66010,99.06240,53.56603,58.75026,1950.42603,47.18824,2053.90915
1843.09559,91.33432,93.45870,58.69671,58.39714,2073.77614,52.91423,1994.57163
2146.02939,96.20720,86.86755,58.92374,54.79271,2140.31799,46.47425,2042.70726
2137.75923,92.86669,90.94212,51.65418,53.12993,1998.95395,49.18322,2160.46603
1918.53761,88.79080,92.19441,53.64076,53.25715,2178.59105,60.57486,2015.96172
2031.50983,99.28897,92.74904,54.44848,54.90644,2051.65026,55.74617,2057.46824
2155.50914,97.91588,100.31740,47.29176,58.72478,2044.03078,56.02561,1924.88930
1938.05854,92.87816,92.96217,50.79088,51.02628,2125.30995,51.71319,2070.09047
2082.99366,94.72158,91.01497,50.23382,50.81676,2022.03209,53.56782,1971.53251
2124.31029,93.67832,96.20274,51.58740,56.82330,2089.16999,55.39592,1886.80950
2069.01853,97.35216,87.26000,54.07499,56.72588,2227.57596,58.49151,2150.71788
2111.29768,90.17128,90.75942,49.37682,57.46340,2129.76800,54.97799,2208.29977
2048.82171,97.05484,96.14839,54.22013,50.31058,2183.99455,54.10503,2209.51779
2139.48517,98.84845,92.77963,56.32670,57.46810,1944.29872,54.16214,2106.46832
1934.73432,95.83268,94.37401,51.88800,55.52391,2200.11844,54.44476,1994.79030
2242.10610,97.50852,100.33948,51.45487,54.33261,1930.06734,54.16628,2167.64272
2177.99685,95.00493,100.56220,52.91124,53.21345,1953.17526,53.75346,2086.23382
1958.59280,96.22629,98.28563,52.04010,53.20607,1798.65630,54.03625,2208.37883
1999.91323,96.10188,100.27439,51.19680,55.90954,1986.04595,55.33365,2042.66520
2010.94978,93.65624,96.16773,51.26044,52.96130,1993.54514,51.22389,1960.01726
1866.59958,96.93646,96.61976,50.07823,55.13920,2176.21020,52.47303,2136.57589
2055.07055,102.30154,102.61389,52.08867,49.78470,2103.41264,56.70279,1973.25129
1987.76226,95.87237,97.03238,57.88559,53.97798,1903.80473,56.12202,1871.65165
2025.67052,90.96645,90.68869,50.45753,55.45889,1991.97065,50.74484,2220.56703
1974.63306,92.07008,102.91537,55.54051,58.91168,2015.37985,54.67052,2120.29356
1884.48419,92.08605,96.21645,54.50571,59.47896,2115.30860,54.32525,1932.56125
1946.41847,97.24869,98.47273,56.10449,57.69501,2089.60970,44.05303,2292.32217
2065.96824,93.69488,89.72405,59.02215,58.78409,2031.53661,52.65770,1939.43664
1967.26513,97.43492,92.13357,54.51994,56.54474,1999.72729,51.87345,2064.40784
2097.44857,91.97533,100.99736,57.82443,56.58299,2072.00585,51.70798,1957.48337
1961.35519,99.72381,96.57874,51.44178,51.25398,1890.25264,52.84967,2076.18037
1904.34377,91.54953,102.34089,50.08262,54.33548,1974.98285,57.79700,1834.96978
1928.91098,92.38009,105.52359,50.80112,58.24412,2035.31551,51.78951,2068.80995
2083.88569,92.85056,91.87735,51.24644,61.16375,2054.31341,56.95317,2028.82061
2079.66964,93.85762,91.29165,52.01275,52.15357,1979.65374,54.66742,2077.80722
2084.06831,92.63535,100.76144,54.16821,51.91241,2296.21018,53.62778,2265.98048
2122.77718,89.96381,104.54975,50.83275,55.30337,2035.77751,52.66279,2022.86322
2059.83539,102.65073,102.64914,49.76134,57.51125,2144.28268,54.44143,2000.97855
1987.00670,95.59741,81.09179,55.29083,48.40510,1958.13555,48.80639,1977.93931
1989.59220,102.57439,88.93470,51.70062,57.12518,2118.07407,54.91440,2066.99141
2056.62317,92.79129,98.99706,49.74774,57.37444,1932.50758,57.33691,2062.18090
2072.37139,95.78020,97.06426,50.97295,56.39257,2114.73504,53.07035,1945.31848
2221.72881,98.34116,97.42365,52.58839,52.12743,1916.67382,54.81566,2104.08348
2077.01325,86.11067,94.39080,54.11261,54.58424,2060.13979,60.44254,2138.02615
2201.14085,100.24992,91.54191,50.24715,57.66162,1967.44734,52.04728,2071.62127
2089.07088,92.17069,100.06803,52.85803,49.74021,2210.00296,52.99246,2030.99412
2010.67895,89.00391,95.22515,56.34163,64.13835,2031.29467,54.42105,2064.38031
2098.70037,100.48631,101.62104,52.42837,51.81836,1944.45031,57.04708,2020.13544
2018.25603,85.32181,100.37043,53.24869,58.54056,2177.46309,54.20641,2220.27745
2001.09373,95.37484,96.76175,50.65683,55.67773,2053.90863,54.93906,2250.30532
2061.02471,94.79195,93.78431,59.30352,57.06670,2236.19785,53.87958,1980.77317
2048.83142,97.38486,83.29912,53.08779,56.43449,2142.80568,55.83616,1980.25691
2088.13312,92.11740,94.74745,50.23406,50.53906,2034.81921,49.53704,2060.02161
1960.16342,97.50524,100.56270,53.32819,54.87302,2238.98703,56.80352,1993.33382
1960.80436,85.33930,87.52859,58.14724,53.57531,2115.07952,54.48285,2235.55155
2012.50675,94.13265,100.76463,51.42519,56.01745,1982.37140,53.47652,2017.13886
2030.43919,96.56088,88.57098,48.30446,57.34238,2038.83107,48.61711,2076.12949
2001.55978,94.41103,96.96106,54.36512,59.18831,2124.85201,52.68509,1780.57534
1914.07578,89.99192,89.31443,56.15113,55.64855,1819.58366,55.13878,2223.88840
2051.64636,94.05910,92.60454,51.64868,58.40829,2075.09169,51.27078,2163.99494
1794.64359,88.15745,97.92620,50.39721,55.92178,2035.15164,51.87714,2131.69925
2308.43321,91.47628,89.99110,53.45130,50.49109,2111.00337,50.24083,1970.70450
2095.90903,91.25666,98.66961,55.04695,56.25852,2159.32654,55.11239,1975.65728
2107.55758,100.68264,93.73711,53.59473,54.43779,2287.59442,55.68239,2107.04202
1846.11229,93.30549,92.78062,54.99002,54.50922,1910.19660,53.40177,1936.77440
2112.68260,96.70521,91.63921,55.89577,55.93468,2017.95198,58.22435,1955.38861
2075.16780,90.22052,96.86254,51.12285,58.74316,1925.17345,53.93529,1944.27105
2062.73188,86.55904,100.01189,52.51313,62.51258,1829.03958,51.55430,2187.76885
2001.30464,96.09265,102.68871,54.18858,56.73570,2197.87927,53.07580,2031.46506
2084.64968,89.36356,88.62036,50.94934,53.12645,2033.09639,52.90439,1998.55260
1984.82486,97.88572,93.83672,52.80068,54.96705,2140.05774,52.59501,2117.93534
2096.88410,95.49676,86.06644,52.46591,51.97297,1940.34953,52.80344,2232.57691
1924.36836,93.00526,96.26558,53.81232,55.53650,2015.80704,54.11213,2195.79112
2165.70593,94.21467,97.23548,50.49518,58.54943,2184.49910,52.13203,2145.75167
2101.47822,102.88051,97.63657,51.48986,56.89260,2065.79441,52.05994,2138.31345
2043.35566,92.65964,95.27406,53.71125,54.57261,2107.39329,56.69848,1916.28996
1942.59179,97.53022,102.30086,54.22600,56.48752,1817.45121,49.88609,2086.73619
2029.44736,101.10311,87.97433,55.36373,59.91471,1876.84675,55.22766,2011.70028
2086.30226,99.14326,96.17917,55.30567,53.18749,2136.31775,53.79454,2067.16630
2152.74734,86.51677,96.13060,56.45661,56.57228,2227.68949,53.18778,2102.04323
2330.84025,93.54494,98.43695,55.01357,59.33606,2033.26624,52.69099,1966.93827
2209.60978,99.41490,88.55023,53.48581,53.72051,2212.92997,57.84324,2144.16253
2015.46367,97.49510,105.81269,52.88221,60.88592,1923.99890,56.26444,2012.28543
2130.75435,96.16827,94.21739,54.11019,57.12371,1985.60218,57.59093,2096.57162
2187.54562,87.07290,104.25998,53.99433,56.99984,1868.93659,52.21330,1896.14907
