GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
bgr_yfhD	0.5914162641310051	0.47637042886970354	0.639381271491195	0.6032328214900546	0.6313350107171156	0.6475688070758698	0.49724409721512713	0.6434444393690992	0.6907660380029083	0.6594138248271577
bgr_sodA	0.04356007922053925	0.05641104523476127	0.050885503926273494	0.03653388049834941	0.05277832759521055	0.04817518132148755	0.0495170362471082	0.04400857399797015	0.04122952728892865	0.038187264073243764
bgr_fur	0.4846776648362584	0.6560959788398392	0.5486145825428806	0.6490378811081133	0.5762670642727427	0.6183324526973568	0.5857965369613148	0.5217998112803026	0.44023317322791655	0.5985349979893071
bgr_himA	0.8151882469814938	0.7057867622158079	0.7312374673363113	0.7862576300557381	0.860321163631998	0.8094865247214319	0.7126909009213026	0.7676199411619183	0.7933324305422554	0.8122097671695537
bgr_crp	0.2633092851333741	0.3255907380462847	0.28170297159217705	0.2911999517250464	0.346513938011944	0.24504849519197305	0.3310082382159766	0.3103351939216981	0.28031177890077874	0.33164752077635506
bgr_fnr	0.7625394915203483	0.7873847736295789	0.8063994292279452	0.7100580991107179	0.6351722044383535	0.7193569576977651	0.7666922701937918	0.6979077183489112	0.698441886752933	0.7523959028738338
bgr_nfo	0.3677054655885102	0.37354609718282467	0.5319326823821566	0.38572408895958515	0.4132380202451523	0.4797907671699989	0.41452809399258767	0.39001927292560634	0.3411984133815689	0.4283980152147408
bgr_appY	0.6402455977471017	0.9136520638658114	0.939012195049658	0.780647582407581	0.8382834006506525	0.9502663704587379	0.7223324663974826	0.6921832225149578	0.8413220811147365	0.7842301171408448
bgr_nlpD_rpoS	0.5733881267701074	0.485962486607858	0.5996226548310406	0.620315929364341	0.49944276974398083	0.5649595683618388	0.6269918492703533	0.5901855785427956	0.5438896748978487	0.5474712038837274
bgr_zwf	0.2940525044657122	0.31443175959683095	0.34563218151677005	0.26805533868970993	0.3328186049731669	0.31915595833101823	0.24703548369144498	0.3195604629713332	0.32309831298870983	0.26848065616297434
bgr_aslB	0.04950833443504218	0.04332537603882906	0.04150644416845511	0.04239525696151872	0.03793723685381548	0.054154544633396376	0.051238226740326506	0.053918607355547474	0.04531570307152484	0.04110868658954427
bgr_glcDEFGB	0.532926151481239	0.4664398705864023	0.5476395929367044	0.36406303161952797	0.34417127859752294	0.37921544449590766	0.44668186946419486	0.39505197746057474	0.48482113032435736	0.4084263193888814
bgr_mdh	0.07590549941753116	0.04065915913086308	0.058868638713212657	0.022896742731930788	0.026582916442127288	0.03842433183743899	0.10291128582129871	0.026142471216299028	0.07354449242847966	0.09079960007145346
bgr_inaA	0.5095647740237526	0.4143434929151697	0.440628446698737	0.39528271767415263	0.4861685765826741	0.4238488133188514	0.7133132553233865	0.448972292111059	0.46276574944109244	0.46637332995458475
bgr_fecIR	0.2868282567544786	0.18401632859448103	0.38140917261976476	0.21402798934082043	0.2701327069132041	0.29675749828384995	0.28170112757880184	0.2907330382972822	0.4030114709295599	0.2824242657389217
bgr_fepA_entD	0.31950769887466235	0.21449458362332097	0.26570124831826253	0.19476144493000397	0.3320548700714366	0.24125145203077306	0.19671822928229096	0.3938347741253159	0.36311017254278166	0.2471861186961836
bgr_narZYWV	0.7378922137825249	0.7502567913546226	0.834461714295737	0.9607174449965685	0.653827276101281	0.7494858813131481	0.681201035837911	0.86089842696782	0.8677145129904575	0.6198417992780261
bgr_fhuACDB	0.13735789501537363	0.08436244308511803	0.1488352679241537	0.08534107058567901	0.10912529380642544	0.0934989966997969	0.10525209029679719	0.18530862675796295	0.1334244384142385	0.10802154944575816
bgr_aldB	0.8056770947948728	0.778889278209839	0.6535734819551715	0.5617877226298273	0.9247324666093697	0.7398251456573199	0.6616546181929404	0.6090320044589499	0.6576701833021119	0.6528012432386098
bgr_aceBAK	0.7913678715724943	0.6376610586856318	0.7666233530633492	0.6665301944040392	0.7869920509688866	0.760753265072922	0.8252355670926038	0.7677307873141712	0.7341214812815445	0.8658188140137028
bgr_dps	0.9392920026273531	0.8167581594006111	0.8790540617211311	0.7628837915637938	0.7986763781218529	0.7716278428414942	0.866539379132632	0.8174499642897383	0.6441880004339645	0.7177585798414202
bgr_fecABCDE	0.48864611580268347	0.37494839171644123	0.6727479172107592	0.5073207542244174	0.5214534395720868	0.42852031808880875	0.39137952660230285	0.5055579186204334	0.6822719919584289	0.39209232799698335
bgr_betIBA	0.09781956923168883	0.051923158057747214	0.07854626984661446	0.030657547198879635	0.0360588340509938	0.060782599756918784	0.12728674191404576	0.032929693816622335	0.07580243667706794	0.10581988841766758
bgr_osmE	0.050337774564112266	0.05295892173855873	0.04788023892755222	0.04498306725801293	0.044094136791032607	0.05922652350956003	0.04970592746829009	0.05158774175269214	0.0376726436764585	0.046854806541499254
