M1,P19,P23,M2,P2,M3,P18,M4,P29,M5,M6,P4,M7,P1,M8,P12,M9,M10,P14,M11,P21,P13,M12,P26,M13,M14,P7,M15,P28,M16,M17,M18,P22,M19,P17,M20,M21,P30,M22,P8,M23,P20,M24,M25,M26,M27,M28,M29,P16,M30,P5,P3,P6,P9,P10,P11,P15,P24,P25,P27
4.04040,1.94007,1337.77208,64.79341,30.63931,1084.28655,38.81823,1595.88866,1.71942,231.61332,1.25740,2.38543,144.00687,1.29132,187.75183,43.08477,1311.23883,32.47108,0.66232,405.04567,0.74983,168.25192,1140.41453,27.90011,29.18295,27.14488,5.37774,68.53821,1.32839,1335.73718,0.64874,32.28498,35.12077,24.69374,37.79346,1179.05162,60.63074,2.79967,127.97535,0.65330,1686.98811,0.97102,2049.31268,1.08426,0.79011,0.56902,42.33392,39.09111,4.11435,24.96556,1.11266,105.16829,2099.97594,119.26122,1109.81559,37.38965,58.26952,67.96541,49.70512,36.05447,1169.80953
4.24242,1.94898,1378.79001,63.28910,30.75187,1108.65163,39.12399,1655.32092,1.67445,244.12062,1.19057,2.36811,142.58480,1.27582,189.29678,43.53380,1358.87097,32.62835,0.66087,411.94821,0.73960,168.23429,1169.71773,28.00370,28.85388,27.20661,5.36717,67.90822,1.29096,1378.67213,0.64541,32.44210,35.34481,24.23299,38.08543,1210.16717,61.90512,2.77639,131.21000,0.64133,1749.93253,0.96240,2144.97630,1.07827,0.78233,0.56359,42.76143,39.47250,4.18866,24.79462,1.11523,101.87979,2199.64187,119.34776,1136.48670,37.78489,57.61735,64.92341,50.16801,35.48074,1200.58668
4.44444,1.96124,1416.04557,61.90430,30.84401,1130.26039,39.38726,1710.58151,1.63478,256.41784,1.13028,2.35355,141.02818,1.26226,190.82293,43.92737,1402.89223,32.75910,0.65967,418.39848,0.73109,168.09769,1196.09492,28.08404,28.53671,27.25382,5.36466,67.26862,1.25959,1417.84155,0.64261,32.57271,35.53452,23.78502,38.33548,1238.09587,63.08191,2.75751,134.37823,0.63061,1808.32030,0.95559,2235.85270,1.07258,0.77588,0.55905,43.13546,39.80461,4.25931,24.63251,1.11948,98.54687,2294.92729,119.33312,1160.21213,38.13628,56.96667,62.15418,50.54361,34.94716,1228.23459
4.64646,1.97596,1449.80530,60.63515,30.91945,1149.38572,39.61394,1761.86456,1.59976,268.49478,1.07590,2.34153,139.37653,1.25037,192.34835,44.27232,1443.49535,32.86781,0.65867,424.46671,0.72401,167.87673,1219.79515,28.14552,28.23464,27.28946,5.36891,66.63083,1.23328,1453.49235,0.64026,32.68127,35.69517,23.35429,38.54961,1263.11067,64.16858,2.74235,137.49124,0.62103,1862.35735,0.95019,2321.99796,1.06716,0.77052,0.55525,43.46270,40.09389,4.32648,24.48061,1.12521,95.21022,2385.86798,119.24401,1181.27057,38.44913,56.32650,59.64705,50.84367,34.45495,1253.02037
4.84848,1.99241,1480.33245,59.47624,30.98121,1166.28189,39.80913,1809.37441,1.56885,280.34275,1.02686,2.33180,137.66281,1.23988,193.88547,44.57466,1480.87913,32.95820,0.65785,430.21185,0.71812,167.59915,1241.05506,28.19174,27.94969,27.31595,5.37880,66.00339,1.21120,1485.87203,0.63828,32.77153,35.83120,22.94383,38.73300,1285.47232,65.17202,2.73033,140.55878,0.61244,1912.26360,0.94589,2403.50166,1.06202,0.76605,0.55206,43.74900,40.34595,4.39033,24.33965,1.13223,91.90301,2472.52924,119.10278,1199.92416,38.72804,55.70351,57.38795,51.07858,34.00393,1275.19900
5.05051,2.01001,1507.88319,58.42119,31.03178,1181.18381,39.97719,1853.32060,1.54154,291.95439,0.98263,2.32417,135.91434,1.23058,195.44210,44.83966,1515.24401,33.03337,0.65716,435.68300,0.71320,167.28680,1260.09740,28.22568,27.68301,27.33520,5.39328,65.39251,1.19265,1515.22440,0.63662,32.84656,35.94640,22.55552,38.89006,1305.42717,66.09859,2.72093,143.58942,0.60474,1958.26694,0.94245,2480.47979,1.05715,0.76231,0.54939,43.99949,40.56568,4.45100,24.20990,1.14040,88.65193,2554.99988,118.92797,1216.41723,38.97701,55.10251,55.36068,51.25745,33.59295,1295.01130
5.25253,2.02825,1532.70377,57.46308,31.07320,1194.30704,40.12190,1893.91395,1.51740,303.32351,0.94275,2.31843,134.15354,1.22229,197.02243,45.07192,1546.78880,33.09587,0.65658,440.92070,0.70909,166.95665,1277.13031,28.24980,27.43506,27.34876,5.41146,64.80253,1.17706,1541.78634,0.63523,32.90894,36.04395,22.19032,39.02457,1323.20596,66.95420,2.71367,146.59070,0.59783,2000.59857,0.93969,2553.06884,1.05253,0.75918,0.54715,44.21864,40.75731,4.50863,24.09129,1.14961,85.47811,2633.38705,118.73483,1230.97565,39.19952,54.52678,53.54795,51.38827,33.22019,1312.68283
5.45455,2.04674,1555.02855,56.59480,31.10711,1205.84806,40.24651,1931.36331,1.49604,314.44499,0.90677,2.31440,132.39872,1.21485,198.62779,45.27550,1575.70797,33.14785,0.65610,445.95815,0.70566,166.62155,1292.34697,28.26611,27.20577,27.35788,5.43255,64.23631,1.16394,1565.78536,0.63406,32.96081,36.12657,21.84852,39.13976,1339.02314,67.74425,2.70816,149.56929,0.59161,2039.48906,0.93745,2621.42062,1.04814,0.75655,0.54526,44.41039,40.92454,4.56333,23.98347,1.15975,82.39794,2707.81187,118.53576,1243.80680,39.39858,53.97846,51.93210,51.47802,32.88339,1328.42317
5.65657,2.06516,1575.07846,55.80928,31.13488,1215.98496,40.35381,1965.87299,1.47714,325.31466,0.87432,2.31189,130.66461,1.20812,200.25735,45.45393,1602.18961,33.19108,0.65570,450.82227,0.70277,166.29096,1305.92554,28.27627,26.99474,27.36356,5.45587,63.69556,1.15289,1587.43777,0.63308,33.00394,36.19652,21.52989,39.23842,1353.07655,68.47378,2.70405,152.53110,0.58600,2075.16520,0.93563,2685.69782,1.04398,0.75433,0.54367,44.57814,41.07056,4.61524,23.88597,1.17073,79.42381,2778.40560,118.34072,1255.09977,39.57686,53.45875,50.49569,51.53278,32.58008,1342.42572
5.85859,2.08327,1593.06037,55.09966,31.15762,1224.87832,40.44620,1997.64100,1.46038,335.92924,0.84504,2.31075,128.96297,1.20201,201.90867,45.61032,1626.41402,33.22703,0.65536,455.53466,0.70036,165.97158,1318.02956,28.28162,26.80130,27.36659,5.48083,63.18108,1.14357,1606.94761,0.63225,33.03981,36.25577,21.23383,39.32292,1365.54765,69.14741,2.70103,155.48140,0.58093,2107.84771,0.93415,2746.07041,1.04003,0.75244,0.54234,44.72492,41.19816,4.66445,23.79817,1.18247,76.56471,2845.30661,118.15754,1265.02605,39.73666,52.96817,49.22194,51.55784,32.30769,1354.86795
