M1,P19,P23,M2,P2,M3,P18,M4,P29,M5,M6,P4,M7,P1,M8,P12,M9,M10,P14,M11,P21,P13,M12,P26,M13,M14,P7,M15,P28,M16,M17,M18,P22,M19,P17,M20,M21,P30,M22,P8,M23,P20,M24,M25,M26,M27,M28,M29,P16,M30,P5,P3,P6,P9,P10,P11,P15,P24,P25,P27
17.17172,2.32664,1738.45381,48.78073,31.26090,1285.76217,41.01930,2338.95419,1.30969,602.56025,0.55737,2.52701,97.96001,1.09820,255.29178,46.71993,1871.01097,33.40565,0.65351,589.84402,0.68668,156.55901,1412.14938,28.14794,25.03636,27.30021,6.23339,54.26586,1.09052,1777.50670,0.62794,33.21744,36.58374,17.43015,39.82738,1458.73029,77.16959,2.57287,313.12963,0.51412,2430.66712,0.92518,3558.05932,0.94778,0.74019,0.53466,45.75172,42.22805,5.43362,23.13079,1.73510,33.34297,3908.81552,126.82294,1333.48831,41.18730,46.77050,40.05583,47.38965,30.10793,1449.18293
17.37374,2.32674,1738.46807,48.77897,31.26090,1285.76484,41.01932,2339.12182,1.30950,603.78037,0.55707,2.52811,97.90113,1.09786,255.51581,46.72001,1871.11523,33.40565,0.65351,590.65754,0.68668,156.41734,1412.15572,28.14787,25.03603,27.30016,6.23652,54.23700,1.09051,1777.60960,0.62794,33.21744,36.58375,17.41989,39.82739,1458.73702,77.17674,2.57103,315.11365,0.51388,2430.75343,0.92518,3558.89674,0.94722,0.74018,0.53466,45.75180,42.22959,5.43491,23.13076,1.73701,33.29043,3910.90214,126.91814,1333.49122,41.18784,46.76611,40.05516,47.35117,30.10758,1449.19079
17.57576,2.32682,1738.48054,48.77737,31.26090,1285.76715,41.01934,2339.27431,1.30932,604.94608,0.55679,2.52915,97.84580,1.09753,255.72848,46.72009,1871.21005,33.40565,0.65351,591.43991,0.68668,156.27877,1412.16112,28.14781,25.03574,27.30012,6.23950,54.20958,1.09051,1777.70721,0.62794,33.21744,36.58375,17.41005,39.82740,1458.74289,77.18333,2.56925,317.05531,0.51366,2430.83061,0.92517,3559.67044,0.94667,0.74018,0.53466,45.75186,42.23108,5.43613,23.13074,1.73878,33.24143,3912.86255,127.00866,1333.49372,41.18833,46.76209,40.05456,47.31394,30.10727,1449.19766
17.77778,2.32690,1738.49145,48.77593,31.26090,1285.76913,41.01935,2339.41304,1.30915,606.05965,0.55653,2.53013,97.79379,1.09722,255.93034,46.72016,1871.29628,33.40566,0.65351,592.19216,0.68668,156.14332,1412.16569,28.14776,25.03548,27.30009,6.24234,54.18352,1.09050,1777.79988,0.62794,33.21744,36.58375,17.40061,39.82741,1458.74800,77.18942,2.56752,318.95505,0.51345,2430.89961,0.92517,3560.38523,0.94614,0.74018,0.53466,45.75192,42.23250,5.43726,23.13072,1.74044,33.19571,3914.70438,127.09467,1333.49589,41.18878,46.75841,40.05403,47.27791,30.10700,1449.20368
17.97980,2.32697,1738.50101,48.77462,31.26090,1285.77085,41.01936,2339.53927,1.30899,607.12328,0.55628,2.53105,97.74491,1.09692,256.12192,46.72022,1871.37473,33.40566,0.65351,592.91529,0.68668,156.01100,1412.16957,28.14771,25.03524,27.30005,6.24504,54.15877,1.09050,1777.88798,0.62794,33.21744,36.58376,17.39155,39.82742,1458.75246,77.19505,2.56585,320.81331,0.51324,2430.96131,0.92516,3561.04561,0.94562,0.74018,0.53466,45.75197,42.23386,5.43832,23.13071,1.74200,33.15303,3916.43482,127.17637,1333.49775,41.18918,46.75504,40.05355,47.24306,30.10675,1449.20895
18.18182,2.32703,1738.50938,48.77343,31.26090,1285.77234,41.01938,2339.65413,1.30883,608.13907,0.55604,2.53193,97.69893,1.09664,256.30372,46.72027,1871.44612,33.40566,0.65351,593.61027,0.68668,155.88181,1412.17285,28.14767,25.03503,27.30003,6.24762,54.13526,1.09049,1777.97180,0.62794,33.21744,36.58376,17.38285,39.82743,1458.75636,77.20024,2.56422,322.63059,0.51304,2431.01651,0.92516,3561.65574,0.94513,0.74018,0.53466,45.75201,42.23518,5.43931,23.13070,1.74345,33.11316,3918.06063,127.25392,1333.49937,41.18955,46.75195,40.05312,47.20934,30.10653,1449.21357
18.38384,2.32709,1738.51666,48.77236,31.26090,1285.77361,41.01939,2339.75854,1.30869,609.10906,0.55582,2.53275,97.65570,1.09638,256.47622,46.72031,1871.51099,33.40566,0.65351,594.27807,0.68668,155.75575,1412.17557,28.14763,25.03483,27.30000,6.25007,54.11293,1.09049,1778.05156,0.62794,33.21744,36.58376,17.37452,39.82743,1458.75973,77.20503,2.56265,324.40743,0.51285,2431.06574,0.92516,3562.21922,0.94465,0.74018,0.53466,45.75205,42.23643,5.44024,23.13069,1.74481,33.07592,3919.58795,127.32753,1333.50075,41.18988,46.74911,40.05274,47.17672,30.10633,1449.21759
18.58586,2.32714,1738.52303,48.77139,31.26090,1285.77470,41.01939,2339.85352,1.30855,610.03521,0.55561,2.53352,97.61504,1.09613,256.63989,46.72035,1871.57001,33.40566,0.65351,594.91961,0.68668,155.63281,1412.17785,28.14760,25.03466,27.29998,6.25240,54.09173,1.09048,1778.12757,0.62794,33.21744,36.58376,17.36651,39.82744,1458.76266,77.20946,2.56112,326.14436,0.51267,2431.10974,0.92515,3562.73974,0.94418,0.74017,0.53466,45.75209,42.23764,5.44111,23.13068,1.74609,33.04112,3921.02289,127.39734,1333.50194,41.19018,46.74652,40.05240,47.14517,30.10615,1449.22112
18.78788,2.32718,1738.52864,48.77050,31.26090,1285.77566,41.01940,2339.94001,1.30841,610.91939,0.55541,2.53425,97.57677,1.09589,256.79515,46.72039,1871.62377,33.40566,0.65351,595.53579,0.68667,155.51296,1412.17977,28.14757,25.03450,27.29995,6.25461,54.07159,1.09048,1778.20010,0.62794,33.21744,36.58376,17.35884,39.82744,1458.76524,77.21355,2.55965,327.84193,0.51250,2431.14915,0.92515,3563.22072,0.94374,0.74017,0.53465,45.75212,42.23881,5.44192,23.13067,1.74728,33.00855,3922.37112,127.46353,1333.50298,41.19046,46.74414,40.05209,47.11466,30.10599,1449.22422
18.98990,2.32723,1738.53353,48.76970,31.26090,1285.77648,41.01941,2340.01866,1.30829,611.76341,0.55522,2.53494,97.54076,1.09567,256.94244,46.72042,1871.67265,33.40566,0.65351,596.12750,0.68667,155.39617,1412.18134,28.14754,25.03436,27.29993,6.25672,54.05248,1.09048,1778.26930,0.62794,33.21744,36.58376,17.35147,39.82745,1458.76748,77.21732,2.55821,329.50075,0.51233,2431.18433,0.92515,3563.66493,0.94330,0.74017,0.53465,45.75214,42.23993,5.44267,23.13066,1.74839,32.97809,3923.63773,127.52627,1333.50387,41.19071,46.74195,40.05181,47.08515,30.10585,1449.22693
19.19192,2.32726,1738.53779,48.76897,31.26090,1285.77718,41.01941,2340.09017,1.30817,612.56900,0.55504,2.53559,97.50687,1.09545,257.08214,46.72045,1871.71710,33.40566,0.65351,596.69559,0.68667,155.28242,1412.18262,28.14752,25.03423,27.29992,6.25873,54.03433,1.09048,1778.33538,0.62794,33.21744,36.58377,17.34441,39.82745,1458.76942,77.22080,2.55683,331.12143,0.51217,2431.21572,0.92515,3564.07519,0.94288,0.74017,0.53465,45.75217,42.24100,5.44338,23.13066,1.74944,32.94958,3924.82765,127.58572,1333.50463,41.19094,46.73995,40.05155,47.05660,30.10573,1449.22930
19.39394,2.32730,1738.54154,48.76831,31.26090,1285.77779,41.01942,2340.15528,1.30805,613.33784,0.55487,2.53620,97.47496,1.09525,257.21464,46.72047,1871.75759,33.40567,0.65351,597.24089,0.68667,155.17167,1412.18368,28.14750,25.03411,27.29990,6.26063,54.01711,1.09047,1778.39856,0.62794,33.21744,36.58377,17.33763,39.82745,1458.77113,77.22402,2.55548,332.70456,0.51202,2431.24382,0.92515,3564.45424,0.94248,0.74017,0.53465,45.75219,42.24203,5.44405,23.13065,1.75042,32.92287,3925.94565,127.64201,1333.50530,41.19114,46.73812,40.05132,47.02900,30.10561,1449.23138
19.59596,2.32733,1738.54485,48.76771,31.26090,1285.77834,41.01942,2340.21459,1.30795,614.07150,0.55471,2.53678,97.44491,1.09506,257.34030,46.72049,1871.79450,33.40567,0.65351,597.76422,0.68667,155.06388,1412.18456,28.14748,25.03400,27.29989,6.26245,54.00076,1.09047,1778.45901,0.62794,33.21744,36.58377,17.33113,39.82745,1458.77264,77.22699,2.55418,334.25077,0.51187,2431.26903,0.92514,3564.80452,0.94209,0.74017,0.53465,45.75220,42.24303,5.44467,23.13065,1.75134,32.89784,3926.99615,127.69531,1333.50590,41.19133,46.73644,40.05111,47.00231,30.10551,1449.23323
19.79798,2.32736,1738.54774,48.76717,31.26090,1285.77880,41.01943,2340.26851,1.30784,614.77155,0.55456,2.53733,97.41660,1.09488,257.45947,46.72051,1871.82806,33.40567,0.65351,598.26637,0.68667,154.95900,1412.18525,28.14746,25.03390,27.29987,6.26417,53.98525,1.09047,1778.51684,0.62794,33.21744,36.58377,17.32489,39.82746,1458.77395,77.22973,2.55292,335.76072,0.51173,2431.29149,0.92514,3565.12796,0.94171,0.74017,0.53465,45.75222,42.24399,5.44525,23.13065,1.75220,32.87438,3927.98299,127.74577,1333.50640,41.19150,46.73489,40.05091,46.97649,30.10542,1449.23485
20.00000,2.32738,1738.55028,48.76667,31.26090,1285.77920,41.01943,2340.31760,1.30775,615.43945,0.55441,2.53784,97.38993,1.09470,257.57247,46.72053,1871.85862,33.40567,0.65351,598.74809,0.68667,154.85699,1412.18580,28.14744,25.03381,27.29986,6.26581,53.97052,1.09047,1778.57223,0.62794,33.21744,36.58377,17.31891,39.82746,1458.77509,77.23227,2.55170,337.23503,0.51159,2431.31160,0.92514,3565.42677,0.94134,0.74017,0.53465,45.75223,42.24491,5.44579,23.13064,1.75300,32.85237,3928.91018,127.79351,1333.50685,41.19165,46.73348,40.05074,46.95152,30.10534,1449.23627
